Network structure	Probability in Non-Proneural	Probability in Proneural
Network 83	0.00183873077243025	0.0035166553323786693
Network 84	0.0576568908996239	0.014272928221250659
Network 85	0.01716586108165077	0.01245157877303537
Network 86	8.651898748432142E-4	0.004598478920061879
Network 87	0.1435547817426417	0.043653562987635
Network 88	0.015572944437708519	0.042225413338522116
Network 89	0.008255279015060242	0.01507245358968217
Network 90	0.0105438325806672	0.011638756594589994
Network 91	0.019156023562087423	0.03691658914935821
Network 92	0.00490043663755244	0.012486281674565043
Network 93	0.004903194763212114	0.006333975038078853
Network 94	0.003797089166869031	0.0564598956273061
Network 95	0.0055128940880905175	0.016300327806187856
Network 96	0.004792673616067082	0.013357690909996976
Network 97	6.733847101523403E-4	0.003975912490064071
Network 98	0.001702027753673536	0.005230928972654166
Network 99	0.00402907234581329	0.006045172170758173
Network 100	0.005795454467044852	0.026846931394201183
Network 101	0.025117528073321387	0.1246218309792154
Network 102	0.01884165298490676	0.020314153685978633
Network 103	0.017334707938601635	0.030541774190423338
Network 104	0.0019387927709615393	0.009490544322794163
Network 105	0.036465415734077224	0.17050151143544678
Network 106	0.009577756504067883	0.017858053128270986
Network 107	0.002173869066041722	0.004039256695272684
Network 108	0.07971186488898643	0.02285170941427203
Network 109	6.517377008184781E-6	0.0013184563406120249
Network 110	7.812594553903615E-4	0.004710716543823129
Network 111	0.001740715400765916	0.002683248680391479
Network 112	4.4333501095088353E-5	0.0010085893066544844
Network 113	0.016065840032675117	0.02251041736926562
Network 114	0.004534774153251739	0.012862524944632641
Network 115	0.002138219440342476	0.009513059652147604
Network 116	0.0020076362770950064	0.011262941099391936
Network 117	0.004540421167880622	0.00845456324833748
Network 118	0.04460846159255813	0.061078235311187945
Network 119	0.013522426916019343	0.027444879923020336
Network 120	0.010252192708704788	0.01024364143250744
Network 121	0.002260599346790789	0.012499963189434174
Network 122	7.065753521722839E-4	0.004213656013675466
Network 123	0.01812234007167621	0.014575793519000456
Network 124	7.276832303615218E-4	0.003859612593799259
Network 125	0.04052964934671175	0.03568334189492234
Network 126	4.243016525549482E-4	0.0024447406089147883
Network 127	0.00438321213767358	0.0075582153162385285
